6.27083, latitude, 17.9429, longitude, 9.7139e-05
8.70573, latitude, 17.9429, longitude, 0.000103969
8.75911, latitude, 29.6963, longitude, -3.83806e-05
8.05469, latitude, 35.5139, longitude, 0.000103004
0.576823, latitude, 41.4171, longitude, -0.000126194
1.84375, latitude, 41.9707, longitude, 1.70216
12.2083, latitude, 36.1369, longitude, 1.70247
10.181, latitude, 30.2682, longitude, 1.70234
8.26042, latitude, 24.4909, longitude, 1.70234
7.85807, latitude, 24.4909, longitude, 1.70234
5.84115, latitude, 18.557, longitude, 1.70233
0.358073, latitude, 6.67329, longitude, 1.70226
7.5026, latitude, -4.92771, longitude, 1.70236
8.70312, latitude, -10.7396, longitude, 1.7028
3.45052, latitude, -16.6597, longitude, 1.70252
5.8776, latitude, -22.4226, longitude, 1.70228
6.17057, latitude, -22.4226, longitude, 1.70228
7.47656, latitude, -28.3812, longitude, 1.7025
20.7083, latitude, -34.1959, longitude, 1.70233
7.77214, latitude, -40.0825, longitude, 1.70247
3.56641, latitude, -45.9805, longitude, 1.70289
3.70833, latitude, -45.9805, longitude, 1.70289
2.83333, latitude, -51.7643, longitude, 1.70264
0.358073, latitude, -51.7644, longitude, 1.7024
5.00781, latitude, -63.6098, longitude, 1.70253
13.0807, latitude, -63.6099, longitude, 1.70218
12.1693, latitude, -75.2892, longitude, 1.70241
14.069, latitude, -77.7217, longitude, 3.31252
20.7917, latitude, -71.7722, longitude, 3.31281
15.2266, latitude, -66.0234, longitude, 3.31234
15.2448, latitude, -66.0234, longitude, 3.31234
6.76562, latitude, -60.2274, longitude, 3.31292
12.1315, latitude, -59.9227, longitude, 3.31248
11.6576, latitude, -48.2148, longitude, 3.31242
15.5521, latitude, -42.4705, longitude, 3.31236
25.6458, latitude, -36.5242, longitude, 3.31294
15.8268, latitude, -30.836, longitude, 3.31259
15.8503, latitude, -30.836, longitude, 3.31259
8.80599, latitude, -24.8449, longitude, 3.31227
12.1927, latitude, -19.0752, longitude, 3.31262
11.4766, latitude, -13.1699, longitude, 3.31261
8.53776, latitude, -7.36365, longitude, 3.31277
1.48307, latitude, -1.4231, longitude, 3.31268
0.447917, latitude, 4.36144, longitude, 3.31251
0.480469, latitude, 4.36144, longitude, 3.31251
1.89714, latitude, 10.3349, longitude, 3.31262
5.54167, latitude, 10.3356, longitude, 3.31272
6.53385, latitude, 22.1224, longitude, 3.31251
11.1576, latitude, 22.1226, longitude, 3.31304
13.9388, latitude, 33.8195, longitude, 3.3126
7.27083, latitude, 39.6208, longitude, 3.31257
5.85026, latitude, 42.5844, longitude, 4.9265
17.181, latitude, 36.7683, longitude, 4.92647
11.2995, latitude, 30.9299, longitude, 4.92645
8.52083, latitude, 25.1293, longitude, 4.92651
8.43099, latitude, 25.1293, longitude, 4.92651
5.72917, latitude, 19.2105, longitude, 4.92671
2.3724, latitude, 13.402, longitude, 4.92679
2.69141, latitude, 7.41511, longitude, 4.92654
1.71354, latitude, -4.33999, longitude, 4.92683
7.02474, latitude, -10.1172, longitude, 4.92655
7.38021, latitude, -10.1172, longitude, 4.92655
16.6849, latitude, -15.994, longitude, 4.92681
9.88151, latitude, -15.9939, longitude, 4.92678
13.276, latitude, -27.799, longitude, 4.92674
25.8919, latitude, -33.5258, longitude, 4.92673
21.7461, latitude, -39.4013, longitude, 4.92695
14.8854, latitude, -45.2473, longitude, 4.92703
16.9167, latitude, -51.1305, longitude, 4.92695
10.7448, latitude, -56.9998, longitude, 4.92687
10.7344, latitude, -56.9998, longitude, 4.92687
10.9271, latitude, -62.9262, longitude, 4.92697
24.3919, latitude, -62.9257, longitude, 4.92687
19.7188, latitude, -74.641, longitude, 4.92672
1.5599, latitude, -80.3333, longitude, 4.9268
19.1016, latitude, -77.8524, longitude, 6.51257
19.8086, latitude, -77.8524, longitude, 6.51257
28.6107, latitude, -71.8978, longitude, 6.51247
20.2253, latitude, -71.8974, longitude, 6.51223
16.9896, latitude, -60.4221, longitude, 6.51233
24.2578, latitude, -54.383, longitude, 6.5121
18.3893, latitude, -48.522, longitude, 6.51223
25.0625, latitude, -42.675, longitude, 6.5122
25.224, latitude, -36.6658, longitude, 6.51256
20.6992, latitude, -30.9292, longitude, 6.51229
15.8099, latitude, -25.0228, longitude, 6.51221
17.6419, latitude, -19.2689, longitude, 6.51223
9.67578, latitude, -13.2207, longitude, 6.51241
1.59896, latitude, -7.46873, longitude, 6.51219
1.58594, latitude, -7.46873, longitude, 6.51219
1.14714, latitude, -1.58274, longitude, 6.51231
7.09115, latitude, -1.58274, longitude, 6.51206
10.4831, latitude, 10.2347, longitude, 6.51237
1.89193, latitude, 15.9026, longitude, 6.5123
2.2487, latitude, 21.9196, longitude, 6.51235
5.81771, latitude, 27.7371, longitude, 6.51236
6.0625, latitude, 27.7371, longitude, 6.51236
16.5117, latitude, 33.6475, longitude, 6.51199
13.1159, latitude, 33.6476, longitude, 6.51186
3.875, latitude, 81.5215, longitude, 6.51243
4.71484, latitude, 81.6766, longitude, 6.5121
7.36328, latitude, 83.7314, longitude, 8.10658
1.29427, latitude, 77.9067, longitude, 8.10639
6.25391, latitude, 42.7437, longitude, 8.10626
18.2409, latitude, 36.9039, longitude, 8.1065
5.97266, latitude, 31.132, longitude, 8.10661
5.47656, latitude, 31.132, longitude, 8.10661
1.24479, latitude, 25.0938, longitude, 8.10658
0.888021, latitude, 19.4046, longitude, 8.10644
11.9896, latitude, 13.4767, longitude, 8.10641
13.5755, latitude, 7.69727, longitude, 8.10678
13.3607, latitude, 7.69727, longitude, 8.10678
4.9974, latitude, 1.80611, longitude, 8.10646
3.18229, latitude, -10.0327, longitude, 8.1064
19.1966, latitude, -10.0329, longitude, 8.10669
17.9531, latitude, -21.7131, longitude, 8.10668
19.2044, latitude, -27.5158, longitude, 8.10625
25.0534, latitude, -33.4141, longitude, 8.10647
23.4492, latitude, -39.2862, longitude, 8.10681
23.7396, latitude, -39.2862, longitude, 8.10681
22.1862, latitude, -45.222, longitude, 8.10678
28.1146, latitude, -45.2218, longitude, 8.10668
19.9271, latitude, -56.6765, longitude, 8.10659
20.1445, latitude, -62.7291, longitude, 8.10674
24.2682, latitude, -68.6038, longitude, 8.10685
30.8477, latitude, -74.3533, longitude, 8.10662
2.97005, latitude, -80.3229, longitude, 8.10669
14.7331, latitude, -84.7839, longitude, 9.6968
25.8815, latitude, -72.9487, longitude, 9.69655
18.6211, latitude, -72.9488, longitude, 9.69643
23.3372, latitude, -61.3249, longitude, 9.69658
28.6732, latitude, -61.3249, longitude, 9.69658
28.0339, latitude, -49.4813, longitude, 9.69651
30.7786, latitude, -49.4813, longitude, 9.69651
28.1328, latitude, -37.7992, longitude, 9.69648
19.388, latitude, -37.7988, longitude, 9.69651
20.2188, latitude, -26.1204, longitude, 9.69651
15.8203, latitude, -26.1203, longitude, 9.69681
9.46354, latitude, -14.3937, longitude, 9.69641
0.677083, latitude, -8.46516, longitude, 9.69628
4.32943, latitude, -2.60033, longitude, 9.69633
18.069, latitude, 3.10635, longitude, 9.69677
19.6628, latitude, 9.14104, longitude, 9.69657
13.6471, latitude, 14.8695, longitude, 9.69659
4.32031, latitude, 20.8744, longitude, 9.69672
1.58724, latitude, 26.5442, longitude, 9.69666
1.63932, latitude, 26.5442, longitude, 9.69666
5.4349, latitude, 32.5142, longitude, 9.69639
10.1784, latitude, 32.5144, longitude, 9.69673
2.35807, latitude, 68.7425, longitude, 9.6967
3.81901, latitude, 74.4907, longitude, 9.6965
3.67839, latitude, 74.4907, longitude, 9.6965
10.3958, latitude, 80.4183, longitude, 9.69656
10.8568, latitude, 80.4191, longitude, 9.69653
17.9245, latitude, 84.6351, longitude, 11.277
8.84505, latitude, 78.7131, longitude, 11.2773
6.33464, latitude, 72.835, longitude, 11.2771
0.763021, latitude, 66.9656, longitude, 11.277
0.701823, latitude, 66.9656, longitude, 11.277
2.64193, latitude, 43.5963, longitude, 11.2772
10.918, latitude, 37.6702, longitude, 11.2771
2.86589, latitude, 31.8611, longitude, 11.2771
2.65365, latitude, 31.8611, longitude, 11.2771
3.15365, latitude, 25.9525, longitude, 11.2773
9.13932, latitude, 20.1723, longitude, 11.2772
19.6172, latitude, 14.2236, longitude, 11.2771
24.2812, latitude, 8.41399, longitude, 11.2774
24.2617, latitude, 8.41399, longitude, 11.2774
16.2878, latitude, 2.51729, longitude, 11.2776
3.20312, latitude, -3.30214, longitude, 11.2774
0.403646, latitude, -9.22593, longitude, 11.2774
10.4479, latitude, -15.1035, longitude, 11.2773
10.9844, latitude, -15.1035, longitude, 11.2773
20.4427, latitude, -20.8865, longitude, 11.2774
21.043, latitude, -26.7334, longitude, 11.2774
21.0052, latitude, -32.6475, longitude, 11.2776
28.5391, latitude, -38.3606, longitude, 11.2772
28.1471, latitude, -44.392, longitude, 11.2777
29.6745, latitude, -50.2837, longitude, 11.2775
29.849, latitude, -50.2837, longitude, 11.2775
24.0716, latitude, -56.1723, longitude, 11.2773
25.1536, latitude, -56.1722, longitude, 11.2772
