0.755208, latitude, 6.17761, longitude, 5.62976e-05
0.441406, latitude, 12.1311, longitude, -0.000138903
0.438802, latitude, 12.1311, longitude, -0.000138903
0.542969, latitude, -26.1204, longitude, 9.69651
0.563802, latitude, 43.5963, longitude, 11.2772
0.483073, latitude, 37.6702, longitude, 11.2771
0.489583, latitude, -26.7334, longitude, 11.2774
0.373698, latitude, -31.6776, longitude, 12.8708
0.427083, latitude, 9.28465, longitude, 12.8709
0.481771, latitude, 15.1764, longitude, 12.8711
0.497396, latitude, 38.7001, longitude, 12.871
0.476562, latitude, 38.5816, longitude, 14.4597
0.46875, latitude, 38.5816, longitude, 14.4597
0.496094, latitude, 20.8548, longitude, 14.4598
0.416667, latitude, -25.7786, longitude, 14.4602
0.626302, latitude, -61.8661, longitude, 16.0515
0.621094, latitude, -61.8661, longitude, 16.0515
0.467448, latitude, -26.8322, longitude, 16.0518
0.466146, latitude, -26.8322, longitude, 16.0518
0.457031, latitude, -20.8604, longitude, 16.0515
0.542969, latitude, -9.13189, longitude, 16.0516
0.46224, latitude, 8.37956, longitude, 16.0516
0.658854, latitude, 14.2798, longitude, 16.0514
0.449219, latitude, 37.7884, longitude, 16.0513
0.424479, latitude, 45.6277, longitude, 17.6473
0.777344, latitude, 22.1406, longitude, 17.6471
0.488281, latitude, 10.4318, longitude, 17.6469
0.55599, latitude, -7.11742, longitude, 17.647
0.496094, latitude, -13.1217, longitude, 17.6474
0.520833, latitude, -24.715, longitude, 17.6473
0.686198, latitude, -59.9106, longitude, 17.6473
0.609375, latitude, -62.6991, longitude, 19.2563
0.710938, latitude, -62.6991, longitude, 19.2563
0.757812, latitude, -56.7614, longitude, 19.2565
0.589844, latitude, -9.81204, longitude, 19.2564
0.942708, latitude, 13.5827, longitude, 19.2566
0.408854, latitude, 37.0716, longitude, 19.2564
0.403646, latitude, 40.16, longitude, 20.8237
0.40625, latitude, 40.16, longitude, 20.8237
0.445312, latitude, 16.5298, longitude, 20.8241
0.30599, latitude, 10.6649, longitude, 20.8243
0.313802, latitude, 10.6649, longitude, 20.8243
0.609375, latitude, -6.95432, longitude, 20.8242
0.550781, latitude, -12.6687, longitude, 20.824
0.546875, latitude, -12.6687, longitude, 20.824
0.773438, latitude, -59.6099, longitude, 20.8239
0.776042, latitude, -59.6099, longitude, 20.8239
0.877604, latitude, -64.6041, longitude, 22.4165
0.644531, latitude, -11.8466, longitude, 22.4165
0.311198, latitude, 5.79541, longitude, 22.4162
0.485677, latitude, 18.0609, longitude, 24.2659
0.523438, latitude, -11.2529, longitude, 24.2657
0.52474, latitude, -11.2529, longitude, 24.2657
0.683594, latitude, -52.4658, longitude, 24.2658
0.389323, latitude, 4.36702, longitude, 25.7094
0.432292, latitude, 15.9863, longitude, 25.7093
0.496094, latitude, -2.35548, longitude, 28.8725
0.289062, latitude, 9.47154, longitude, 28.8723
0.322917, latitude, 9.4716, longitude, 28.8722
0.528646, latitude, -2.56166, longitude, 30.414
0.50651, latitude, -21.2593, longitude, 32.207
0.320312, latitude, -21.0799, longitude, 32.207
0.541667, latitude, -3.67908, longitude, 32.2069
0.561198, latitude, -1.29795, longitude, 33.6034
0.55599, latitude, -18.8764, longitude, 33.6033
0.627604, latitude, -22.2135, longitude, 35.3257
0.31901, latitude, -22.0597, longitude, 35.3255
0.654948, latitude, -10.4516, longitude, 35.3254
0.619792, latitude, 5.83288, longitude, 36.9507
0.60026, latitude, -17.5345, longitude, 36.9511
0.665365, latitude, -17.4813, longitude, 38.5071
0.65625, latitude, -10.9535, longitude, 40.1777
0.471354, latitude, 10.8718, longitude, -1.61289
0.39974, latitude, 5.07435, longitude, -1.61275
0.566406, latitude, 5.67762, longitude, -3.2285
0.492188, latitude, 11.4453, longitude, -3.22841
0.492188, latitude, 12.0327, longitude, -4.85654
0.424479, latitude, 6.16219, longitude, -4.85631
0.473958, latitude, -46.596, longitude, -4.85633
0.496094, latitude, -46.596, longitude, -4.85633
0.598958, latitude, -52.5599, longitude, -4.85623
0.627604, latitude, -53.2375, longitude, -6.65303
0.625, latitude, -53.2375, longitude, -6.65303
0.351562, latitude, 5.38487, longitude, -6.65302
0.510417, latitude, 11.0893, longitude, -6.65336
0.528646, latitude, 13.1652, longitude, -8.10597
0.84375, latitude, 7.32302, longitude, -8.10588
0.628906, latitude, -51.3727, longitude, -8.10553
0.365885, latitude, -55.2588, longitude, -9.70213
0.5625, latitude, -49.3482, longitude, -9.70214
0.520833, latitude, 3.36631, longitude, -9.7023
0.783854, latitude, 9.29468, longitude, -9.70229
0.605469, latitude, -50.0022, longitude, -11.586
0.582031, latitude, -50.2206, longitude, -12.8659
0.394531, latitude, 37.6572, longitude, -12.8657
0.390625, latitude, 39.4533, longitude, -14.4529
0.358073, latitude, 33.6842, longitude, -14.453
0.41276, latitude, 36.9295, longitude, -16.0027
0.459635, latitude, 34.6524, longitude, -17.7318
0.447917, latitude, 34.7576, longitude, -19.3047
0.459635, latitude, 35.7049, longitude, -21.0655
0.375, latitude, -22.9911, longitude, -21.0654
0.554688, latitude, -28.9007, longitude, -21.0651
0.532552, latitude, -30.6475, longitude, -22.4155
0.552083, latitude, -24.6681, longitude, -22.4152
0.425781, latitude, 33.9072, longitude, -22.4154
0.842448, latitude, -26.8085, longitude, -24.1247
0.893229, latitude, -26.7133, longitude, -25.6056
0.832031, latitude, -24.7797, longitude, -27.4687
0.696615, latitude, -28.6092, longitude, -28.8301
0.559896, latitude, -22.7664, longitude, -28.8299
