13.6628, latitude, 0.699832, longitude, 0.000127524
15.3021, latitude, 6.67329, longitude, 1.70226
4.39062, latitude, -4.92771, longitude, 1.70236
1.80859, latitude, -7.36365, longitude, 3.31277
14.5638, latitude, -1.4231, longitude, 3.31268
2.36589, latitude, 4.36144, longitude, 3.31251
1.72266, latitude, 4.36144, longitude, 3.31251
9.92839, latitude, 1.66523, longitude, 4.92684
4.94271, latitude, -4.33999, longitude, 4.92683
0.85026, latitude, -1.58274, longitude, 6.51231
0.816406, latitude, 19.4046, longitude, 8.10644
0.78776, latitude, 13.4767, longitude, 8.10641
5.49089, latitude, 14.8695, longitude, 9.69659
2.26302, latitude, 20.8744, longitude, 9.69672
6.11719, latitude, 20.1723, longitude, 11.2772
7.22266, latitude, 14.2236, longitude, 11.2771
0.697917, latitude, 8.41399, longitude, 11.2774
0.699219, latitude, 8.41399, longitude, 11.2774
0.954427, latitude, -8.22675, longitude, 12.871
7.86458, latitude, 9.28465, longitude, 12.8709
20.0365, latitude, 15.1764, longitude, 12.8711
7.08984, latitude, 20.9779, longitude, 12.8709
6.36458, latitude, 20.9779, longitude, 12.8709
13.0911, latitude, 20.8545, longitude, 14.4596
23.0781, latitude, 20.8548, longitude, 14.4598
4.34635, latitude, 9.11051, longitude, 14.4599
0.684896, latitude, -2.57751, longitude, 14.4597
4.96224, latitude, -8.40306, longitude, 14.4598
2.61068, latitude, -20.8604, longitude, 16.0515
18.651, latitude, -9.13189, longitude, 16.0516
0.434896, latitude, -9.13203, longitude, 16.0517
4.34505, latitude, 8.37956, longitude, 16.0516
25.2383, latitude, 14.2798, longitude, 16.0514
13.5365, latitude, 20.0567, longitude, 16.0517
12.6706, latitude, 20.0567, longitude, 16.0517
8.91406, latitude, 22.1403, longitude, 17.6469
26.9062, latitude, 22.1406, longitude, 17.6471
7.44792, latitude, 10.4318, longitude, 17.6469
19.8438, latitude, -7.11742, longitude, 17.647
6.19792, latitude, -13.1217, longitude, 17.6474
6.67057, latitude, -21.4786, longitude, 19.2564
24.6745, latitude, -9.81204, longitude, 19.2564
1.93229, latitude, -3.9516, longitude, 19.2562
1.99089, latitude, 7.62415, longitude, 19.2565
19.4779, latitude, 13.5827, longitude, 19.2566
14.5195, latitude, 19.3727, longitude, 19.2564
14.3385, latitude, 19.3727, longitude, 19.2564
6.86458, latitude, 22.4514, longitude, 20.8241
7.39714, latitude, 22.4512, longitude, 20.824
22.9883, latitude, 16.5298, longitude, 20.8241
7.94531, latitude, 10.6649, longitude, 20.8243
7.04036, latitude, 10.6649, longitude, 20.8243
17.6797, latitude, -6.95432, longitude, 20.8242
13.8737, latitude, -12.6687, longitude, 20.824
13.401, latitude, -12.6687, longitude, 20.824
19.2865, latitude, -11.8466, longitude, 22.4165
9.85677, latitude, -5.93637, longitude, 22.4163
6.66406, latitude, 5.79541, longitude, 22.4162
7.71484, latitude, 17.5267, longitude, 22.4162
2.5612, latitude, 18.0607, longitude, 24.2659
2.05339, latitude, 18.0609, longitude, 24.2659
5.78516, latitude, -5.41949, longitude, 24.2662
14.0013, latitude, -11.2529, longitude, 24.2657
13.9167, latitude, -11.2529, longitude, 24.2657
7.42448, latitude, -13.4158, longitude, 25.7091
1.5, latitude, 8.34672, longitude, 27.4035
1.45833, latitude, -3.18352, longitude, 27.4037
2.5026, latitude, -9.09075, longitude, 27.4036
4.52865, latitude, -14.9917, longitude, 27.4033
1.33984, latitude, -14.0694, longitude, 28.8725
5.58464, latitude, -2.35548, longitude, 28.8725
0.946615, latitude, -2.1907, longitude, 28.8726
1.90885, latitude, 38.6626, longitude, 28.8727
1.80729, latitude, 38.6118, longitude, 30.414
5.27474, latitude, 3.31227, longitude, 30.4141
5.79036, latitude, -2.56166, longitude, 30.414
0.333333, latitude, -8.35586, longitude, 30.4145
0.28776, latitude, -14.3189, longitude, 30.4142
6.19792, latitude, -3.67908, longitude, 32.2069
5.18359, latitude, 2.18462, longitude, 32.2074
0.713542, latitude, 31.5807, longitude, 32.2072
0.700521, latitude, 31.5807, longitude, 32.2072
5.60026, latitude, 37.441, longitude, 32.207
6.11849, latitude, 39.7014, longitude, 33.6033
1.0625, latitude, 33.846, longitude, 33.603
2.65755, latitude, 4.54687, longitude, 33.6033
6.88411, latitude, -1.29795, longitude, 33.6034
4.73047, latitude, -10.4516, longitude, 35.3254
7.4987, latitude, 1.0344, longitude, 35.3254
0.72526, latitude, 24.6624, longitude, 35.3255
6.28255, latitude, 36.4708, longitude, 35.3253
1.33594, latitude, 42.2814, longitude, 35.3254
6.29948, latitude, 41.1992, longitude, 36.951
