1.41536, latitude, -11.0575, longitude, -1.62365
22.9245, latitude, -22.8366, longitude, -1.62337
1.46745, latitude, -22.8367, longitude, -1.62311
1.30078, latitude, -30.0509, longitude, -3.36941
19.0273, latitude, -24.2303, longitude, -3.36937
2.66276, latitude, -18.4651, longitude, -3.36965
2.08594, latitude, -18.4651, longitude, -3.36965
7.73568, latitude, -21.9176, longitude, -4.87913
1.60026, latitude, -21.9173, longitude, -4.8792
2.99219, latitude, -24.7579, longitude, -6.4866
1.37109, latitude, -24.7582, longitude, -6.48683
0.385417, latitude, 39.5544, longitude, -6.48665
0.4375, latitude, 45.4747, longitude, -6.48664
2.55339, latitude, 49.2768, longitude, -8.11224
4.11068, latitude, 49.1123, longitude, -8.11219
0.904948, latitude, 37.5465, longitude, -8.11238
5.08594, latitude, 39.2082, longitude, -9.65713
5.67057, latitude, 44.9809, longitude, -9.65686
1.29688, latitude, 50.0759, longitude, -11.3076
7.83984, latitude, 44.2492, longitude, -11.307
1.94922, latitude, 44.2493, longitude, -11.3072
3.10677, latitude, 38.0569, longitude, -12.8834
7.46484, latitude, 44.0066, longitude, -12.8836
0.505208, latitude, 49.7966, longitude, -12.8834
0.785156, latitude, 50.9502, longitude, -14.4924
6.9401, latitude, 44.9677, longitude, -14.4926
2.85677, latitude, 44.9678, longitude, -14.4929
0.311198, latitude, 9.76086, longitude, -14.4922
0.28776, latitude, 9.76108, longitude, -14.4924
0.792969, latitude, 3.79583, longitude, -14.4927
0.752604, latitude, 3.7961, longitude, -14.4924
1.83594, latitude, 1.95543, longitude, -16.1362
0.777344, latitude, 7.85378, longitude, -16.1363
2.00391, latitude, 37.2214, longitude, -16.1363
7.51432, latitude, 43.1022, longitude, -16.1364
2.21745, latitude, 43.1021, longitude, -16.1362
7.4375, latitude, 45.9715, longitude, -17.7106
4.3138, latitude, 40.041, longitude, -17.7108
4.1875, latitude, 4.82888, longitude, -17.7111
4.14844, latitude, 4.82907, longitude, -17.7108
0.35026, latitude, -1.18791, longitude, -17.7109
2.43229, latitude, 0.323385, longitude, -19.305
3.59375, latitude, 6.19773, longitude, -19.3048
3.33594, latitude, 6.19773, longitude, -19.3048
4.25651, latitude, 35.6144, longitude, -19.3048
4.06901, latitude, 47.2546, longitude, -19.3046
0.361979, latitude, 47.4568, longitude, -20.8299
3.55729, latitude, 12.2324, longitude, -20.8298
2.50911, latitude, 0.693604, longitude, -20.8299
2.26042, latitude, -0.466212, longitude, -22.4548
3.16536, latitude, -0.466447, longitude, -22.4547
1.76432, latitude, 7.18154, longitude, -24.0014
3.01432, latitude, 7.18121, longitude, -24.0016
2.00781, latitude, -7.49544, longitude, -25.9652
3.60286, latitude, 4.14007, longitude, -25.9654
3.6849, latitude, 4.14001, longitude, -25.9651
0.595052, latitude, 8.07325, longitude, -27.2252
0.86849, latitude, 2.34074, longitude, -27.2247
0.472656, latitude, 27.4515, longitude, 1.6531
12.5794, latitude, -19.3506, longitude, 1.65297
19.625, latitude, -19.3503, longitude, 1.65314
3.75, latitude, -28.8439, longitude, 3.2414
4.58984, latitude, -28.8445, longitude, 3.24164
18.9401, latitude, -22.9642, longitude, 3.24155
0.78125, latitude, -22.9642, longitude, 3.24137
3.89062, latitude, 23.9171, longitude, 3.24159
4.05469, latitude, 23.9172, longitude, 3.24176
5.59766, latitude, 29.8038, longitude, 3.24144
2.30078, latitude, 35.4201, longitude, 4.96585
9.4388, latitude, 35.1729, longitude, 4.96588
2.49479, latitude, 23.6026, longitude, 4.966
3.77474, latitude, -11.7013, longitude, 4.96618
11.0859, latitude, -23.3599, longitude, 4.96606
0.856771, latitude, -23.3597, longitude, 4.96617
5.53255, latitude, -30.5028, longitude, 6.42775
0.440104, latitude, -18.6979, longitude, 6.42783
1.64714, latitude, 22.0984, longitude, 6.42782
17.4049, latitude, 28.1281, longitude, 6.42771
6.57682, latitude, 28.1278, longitude, 6.42783
1.50521, latitude, 36.8868, longitude, 8.1299
