0.889323, latitude, 6.12107, longitude, -0.000138903
0.299479, latitude, 12.0479, longitude, 9.7139e-05
24.6497, latitude, 18.0324, longitude, 0.000108299
30.9622, latitude, 18.1472, longitude, 0.00019982
27.3073, latitude, 29.7774, longitude, 0.000103004
24.5951, latitude, 35.6486, longitude, -0.000126194
1.1263, latitude, 41.4366, longitude, -2.82503e-05
0.420573, latitude, 70.9479, longitude, -1.6235
0.428385, latitude, 65.2476, longitude, -1.62365
16.3242, latitude, 35.8142, longitude, -1.62346
10.2201, latitude, 30.0362, longitude, -1.62351
10.2669, latitude, 24.0278, longitude, -1.6234
13.3906, latitude, 18.2488, longitude, -1.6234
1.14974, latitude, 12.3587, longitude, -1.62367
9.3112, latitude, 6.56591, longitude, -1.6234
1.05599, latitude, 0.642539, longitude, -1.62361
24.4232, latitude, -5.13317, longitude, -1.62321
25.1003, latitude, -5.13317, longitude, -1.62321
13.6419, latitude, -11.0577, longitude, -1.62347
0.292969, latitude, -22.8366, longitude, -1.62337
3.05078, latitude, -22.8367, longitude, -1.62311
40.3776, latitude, -34.5081, longitude, -1.62352
5.49089, latitude, -40.3404, longitude, -1.62339
3.84115, latitude, -46.2859, longitude, -1.62331
3.58594, latitude, -52.1907, longitude, -1.6231
0.852865, latitude, -63.9389, longitude, -1.62337
11.7682, latitude, -69.7096, longitude, -1.62333
27.0195, latitude, -75.5367, longitude, -1.62342
25.5026, latitude, -77.0284, longitude, -3.36924
7.73828, latitude, -71.1234, longitude, -3.36954
2.58854, latitude, -53.6225, longitude, -3.36952
2.28125, latitude, -47.829, longitude, -3.36932
3.21094, latitude, -41.8611, longitude, -3.36928
27.2695, latitude, -36.0588, longitude, -3.36963
2.06771, latitude, -30.0509, longitude, -3.36941
8.69531, latitude, -12.5235, longitude, -3.36935
19.6536, latitude, -12.5235, longitude, -3.3694
0.415365, latitude, -0.863794, longitude, -3.36971
0.454427, latitude, -0.671339, longitude, -3.36958
10.7643, latitude, 5.09217, longitude, -3.36949
2.16797, latitude, 11.0421, longitude, -3.36957
6.1849, latitude, 16.8158, longitude, -3.36969
4.10807, latitude, 22.7566, longitude, -3.36923
5.44792, latitude, 28.6366, longitude, -3.36937
10.6654, latitude, 34.3602, longitude, -3.36961
0.33724, latitude, 46.2169, longitude, -3.36917
1.42708, latitude, 63.7167, longitude, -3.36957
3.47786, latitude, 69.6074, longitude, -3.3697
11.9154, latitude, 71.9363, longitude, -4.8793
7.16276, latitude, 66.1337, longitude, -4.87934
1.40234, latitude, 54.3061, longitude, -4.87938
2.42839, latitude, 48.5397, longitude, -4.87956
1.16536, latitude, 42.6315, longitude, -4.87926
1.11198, latitude, 36.8851, longitude, -4.87925
1.28125, latitude, 30.9328, longitude, -4.87937
2.92057, latitude, 19.1375, longitude, -4.879
21.7083, latitude, 7.49208, longitude, -4.87923
21.3932, latitude, 7.49193, longitude, -4.87943
0.920573, latitude, 1.69598, longitude, -4.87908
4.17318, latitude, 1.42343, longitude, -4.87915
3.94792, latitude, -10.1253, longitude, -4.8791
0.55599, latitude, -10.3222, longitude, -4.87922
0.516927, latitude, -21.9176, longitude, -4.87913
9.46615, latitude, -33.6365, longitude, -4.87882
3.67057, latitude, -39.4103, longitude, -4.87901
0.326823, latitude, -51.1988, longitude, -4.87935
1.29036, latitude, -57.127, longitude, -4.87886
2.75651, latitude, -68.7612, longitude, -4.879
28.2969, latitude, -74.7251, longitude, -4.87893
1.25391, latitude, -80.6254, longitude, -4.8791
16.3581, latitude, -77.5525, longitude, -6.48657
11.3581, latitude, -71.853, longitude, -6.48669
5.53125, latitude, -60.134, longitude, -6.48666
1.87109, latitude, -54.0868, longitude, -6.48695
0.619792, latitude, -42.4323, longitude, -6.4866
0.733073, latitude, -42.4323, longitude, -6.4866
4.11328, latitude, -36.5275, longitude, -6.48637
0.72526, latitude, -36.5273, longitude, -6.48703
3.36068, latitude, -24.7582, longitude, -6.48683
1.70703, latitude, -13.0584, longitude, -6.48684
4.9349, latitude, -13.0585, longitude, -6.48657
0.903646, latitude, -1.33783, longitude, -6.48666
15.3008, latitude, -1.33807, longitude, -6.48666
12.4609, latitude, 10.2995, longitude, -6.48664
0.856771, latitude, 39.5544, longitude, -6.48665
4.81771, latitude, 45.4747, longitude, -6.48664
7.45443, latitude, 45.6466, longitude, -6.48662
0.822917, latitude, 57.3229, longitude, -6.4867
0.83724, latitude, 57.3226, longitude, -6.48681
24.7005, latitude, 68.7313, longitude, -6.48655
3.32682, latitude, 69.0581, longitude, -6.48672
3.32552, latitude, 84.3915, longitude, -8.11247
1.7526, latitude, 84.3909, longitude, -8.11227
34.2734, latitude, 72.6296, longitude, -8.11234
14.0143, latitude, 72.6299, longitude, -8.11272
0.457031, latitude, 60.9807, longitude, -8.11201
13.3372, latitude, 55.1959, longitude, -8.11231
10.0664, latitude, 49.2768, longitude, -8.11224
12.4818, latitude, 49.1123, longitude, -8.11219
