0.520833, latitude, 6.20272, longitude, 0.000117195
0.321615, latitude, 6.83168, longitude, 1.63202
0.53125, latitude, 0.873688, longitude, 1.63178
0.53776, latitude, 0.873688, longitude, 1.63178
0.317708, latitude, -5.01693, longitude, 1.63172
0.459635, latitude, -22.6268, longitude, 1.63168
0.38151, latitude, -28.2855, longitude, 1.63203
0.708333, latitude, -29.4162, longitude, 3.28683
0.434896, latitude, -23.5746, longitude, 3.28686
0.31901, latitude, -0.00540897, longitude, 3.28674
0.31901, latitude, 5.70866, longitude, 3.28667
0.425781, latitude, -28.4817, longitude, 4.84354
0.307292, latitude, -28.4817, longitude, 4.84354
0.311198, latitude, 22.2899, longitude, 6.43809
0.835938, latitude, 28.2105, longitude, 6.43805
0.739583, latitude, 31.7034, longitude, 8.20372
0.894531, latitude, 25.6879, longitude, 8.20364
0.96224, latitude, 27.0802, longitude, 9.68745
0.994792, latitude, 26.9219, longitude, 11.2507
1, latitude, 26.9219, longitude, 11.2507
0.75651, latitude, 25.6694, longitude, 12.9811
0.751302, latitude, 27.1702, longitude, 14.418
0.283854, latitude, 16.9383, longitude, 17.6022
0.83724, latitude, -13.6639, longitude, 22.556
0.65625, latitude, -3.00732, longitude, 24.145
0.398438, latitude, -9.09474, longitude, 27.2302
0.309896, latitude, 12.1829, longitude, 35.2683
0.377604, latitude, 17.9648, longitude, 35.2683
0.363281, latitude, 17.215, longitude, 36.9416
0.355469, latitude, 16.7645, longitude, 38.5294
0.358073, latitude, 19.403, longitude, 40.0777
0.354167, latitude, 13.5262, longitude, 40.0778
0.341146, latitude, 13.5262, longitude, 40.0778
0.351562, latitude, 15.7651, longitude, 41.6402
0.352865, latitude, 19.0786, longitude, 43.2017
0.290365, latitude, 13.2044, longitude, 43.2017
0.290365, latitude, 13.2044, longitude, 43.2017
0.5, latitude, 6.34185, longitude, -1.71807
0.510417, latitude, 6.34185, longitude, -1.71807
0.634115, latitude, 0.404645, longitude, -1.71843
0.351562, latitude, -23.0098, longitude, -1.71797
0.334635, latitude, -6.24296, longitude, -3.35215
0.667969, latitude, -0.285042, longitude, -3.35235
0.33724, latitude, 5.48665, longitude, -3.35243
0.292969, latitude, 11.4407, longitude, -3.3525
0.302083, latitude, 13.0663, longitude, -4.80149
0.433594, latitude, 7.13159, longitude, -4.80177
0.733073, latitude, 1.38281, longitude, -4.80164
0.34375, latitude, -4.62116, longitude, -4.80146
0.404948, latitude, 4.25304, longitude, -6.55253
0.40625, latitude, 4.25304, longitude, -6.55253
0.330729, latitude, -21.5169, longitude, -17.7667
0.338542, latitude, -27.484, longitude, -17.7665
0.330729, latitude, -24.9793, longitude, -19.2009
0.325521, latitude, -20.6076, longitude, -20.9454
0.326823, latitude, -20.6074, longitude, -20.9452
0.326823, latitude, -27.2248, longitude, -22.553
0.326823, latitude, -21.4168, longitude, -22.5527
0.292969, latitude, -28.242, longitude, -25.7016
