0.321615, latitude, -16.5559, longitude, 1.61076
20.1523, latitude, -22.4489, longitude, 1.6106
19.8164, latitude, -22.4489, longitude, 1.6106
2.16797, latitude, -28.1897, longitude, 1.61034
3.23047, latitude, -25.8394, longitude, 3.25557
1.38672, latitude, -20.1117, longitude, 3.2556
1.38672, latitude, -20.1117, longitude, 3.2556
3.98828, latitude, 26.637, longitude, 3.25572
6.30208, latitude, 27.159, longitude, 4.90178
0.561198, latitude, -19.377, longitude, 4.90205
1.91667, latitude, -25.522, longitude, 4.90201
1.7487, latitude, -25.522, longitude, 4.90178
9.11068, latitude, 25.578, longitude, 6.48872
5.96615, latitude, 31.3216, longitude, 6.4887
1.19531, latitude, 34.5933, longitude, 8.08025
1.19531, latitude, 34.5933, longitude, 8.08025
17.4674, latitude, 29.1801, longitude, 8.08009
1.59766, latitude, 22.9383, longitude, 8.07994
7.02344, latitude, 23.629, longitude, 9.7799
17.7357, latitude, 29.4539, longitude, 9.78018
0.91276, latitude, 35.2513, longitude, 9.7803
17.5599, latitude, 29.9863, longitude, 11.4594
5.1888, latitude, 24.355, longitude, 11.4592
0.972656, latitude, 22.2199, longitude, 13.1641
13.3893, latitude, 28.1109, longitude, 13.1644
3.42708, latitude, 34.1299, longitude, 13.1643
11.2578, latitude, 31.8549, longitude, 14.4296
11.2578, latitude, 31.855, longitude, 14.4293
2.6901, latitude, 26.0702, longitude, 14.4297
0.893229, latitude, 26.6881, longitude, 16.0847
1.52995, latitude, 32.5582, longitude, 16.0845
0.369792, latitude, 27.0596, longitude, 17.7023
1.12891, latitude, -8.17144, longitude, 17.7026
0.532552, latitude, -56.9312, longitude, 19.2975
10.9232, latitude, -9.98334, longitude, 19.2975
0.576823, latitude, -4.23238, longitude, 19.2974
0.576823, latitude, -4.23264, longitude, 19.2975
13.4271, latitude, -5.71016, longitude, 20.9472
7.02214, latitude, -11.4971, longitude, 20.9469
1.25, latitude, -52.5503, longitude, 20.9471
8.29036, latitude, -13.4589, longitude, 22.5834
18.1055, latitude, -7.55128, longitude, 22.5833
18.1055, latitude, -7.55144, longitude, 22.5835
1.35677, latitude, -3.11246, longitude, 24.2105
1.35677, latitude, -3.11246, longitude, 24.2105
25.0794, latitude, -9.1809, longitude, 24.2104
0.388021, latitude, -61.7442, longitude, 25.8266
0.861979, latitude, -14.991, longitude, 25.8268
22.6211, latitude, -8.96083, longitude, 25.827
22.6211, latitude, -8.96092, longitude, 25.8271
16.3281, latitude, -7.33183, longitude, 27.4762
16.3281, latitude, -7.33185, longitude, 27.4765
2.66536, latitude, -13.1532, longitude, 27.4764
0.332031, latitude, -57.7607, longitude, 29.1307
3.71875, latitude, -10.6748, longitude, 29.1313
1.66667, latitude, -6.51513, longitude, 30.4047
0.755208, latitude, -12.3294, longitude, 30.4048
4.49219, latitude, -11.1776, longitude, 32.0374
4.94401, latitude, -10.9039, longitude, 33.6711
4.94401, latitude, -11.3965, longitude, 33.671
1.12891, latitude, -13.0595, longitude, 35.4101
3.10547, latitude, -8.49487, longitude, 37.0712
0.85026, latitude, -14.5111, longitude, 37.071
0.85026, latitude, -14.5108, longitude, 37.0711
1.22005, latitude, -14.8749, longitude, 38.733
0.541667, latitude, -9.06666, longitude, 38.7332
1.17188, latitude, -12.2613, longitude, 40.3857
0.75651, latitude, -11.0688, longitude, 41.7276
17.8685, latitude, -20.3923, longitude, -1.76165
12.2057, latitude, -26.2918, longitude, -1.76164
15.9102, latitude, -26.1718, longitude, -3.26067
15.9102, latitude, -26.1718, longitude, -3.26067
11.8529, latitude, -20.4253, longitude, -3.26044
9.85286, latitude, -20.426, longitude, -3.26043
4.35547, latitude, -19.5788, longitude, -5.02422
4.35547, latitude, -19.5788, longitude, -5.02422
5.53646, latitude, -25.3471, longitude, -5.02459
0.574219, latitude, -28.4675, longitude, -6.49902
2.71875, latitude, -22.8002, longitude, -6.49892
0.378906, latitude, 4.2887, longitude, -19.4268
0.640625, latitude, 2.40136, longitude, -20.9275
0.640625, latitude, 2.40136, longitude, -20.9275
