2.21094, latitude, 6.23857, longitude, 2.03416e-05
3.03776, latitude, 12.1343, longitude, -0.000102545
2.73047, latitude, 12.1343, longitude, -0.000102545
79.2044, latitude, 17.9481, longitude, 1.4783e-05
73.8438, latitude, 23.781, longitude, 0.000129363
60.7839, latitude, 29.7971, longitude, 0.00014748
74.9714, latitude, 35.6233, longitude, 9.80803e-05
1.30339, latitude, 41.3311, longitude, -0.00013008
5.97917, latitude, 41.9521, longitude, 1.61049
87.1979, latitude, 35.9721, longitude, 1.61077
75.6667, latitude, 30.1059, longitude, 1.6105
92.1185, latitude, 24.3418, longitude, 1.61038
71.2617, latitude, 18.5994, longitude, 1.6106
2.90625, latitude, 12.6385, longitude, 1.61049
2.98438, latitude, 12.6388, longitude, 1.61058
1.10547, latitude, 6.75202, longitude, 1.61038
2.17969, latitude, 0.854008, longitude, 1.61041
63.8438, latitude, -4.81591, longitude, 1.61076
35.4779, latitude, -10.8, longitude, 1.61042
17.5026, latitude, -16.5559, longitude, 1.61076
37.9674, latitude, -22.4489, longitude, 1.6106
38.3568, latitude, -22.4489, longitude, 1.6106
41.7422, latitude, -28.1897, longitude, 1.61034
96.7435, latitude, -34.1607, longitude, 1.61041
58.7799, latitude, -40.0869, longitude, 1.61065
22.5599, latitude, -46.0116, longitude, 1.6108
21.5859, latitude, -46.0117, longitude, 1.61015
8.83203, latitude, -52.0176, longitude, 1.61066
8.83203, latitude, -52.0177, longitude, 1.61038
4.8099, latitude, -57.8422, longitude, 1.61062
33.4336, latitude, -63.5031, longitude, 1.61093
89.5898, latitude, -69.3498, longitude, 1.61067
97.2852, latitude, -75.3479, longitude, 1.61066
96.7839, latitude, -75.3479, longitude, 1.61054
1.58203, latitude, -81.1902, longitude, 1.6107
40.8724, latitude, -78.6561, longitude, 3.25551
50.651, latitude, -78.6561, longitude, 3.25551
92.8802, latitude, -72.9118, longitude, 3.25567
93.9948, latitude, -67.0881, longitude, 3.25549
50.5221, latitude, -61.162, longitude, 3.25535
25.6393, latitude, -55.1699, longitude, 3.25565
25.7487, latitude, -55.1694, longitude, 3.25574
43.4492, latitude, -49.1755, longitude, 3.25559
73.638, latitude, -43.6008, longitude, 3.25548
96.6146, latitude, -37.5305, longitude, 3.25579
95.5781, latitude, -31.9392, longitude, 3.25554
95.5781, latitude, -31.9395, longitude, 3.25561
83.9323, latitude, -25.8394, longitude, 3.25557
68.3477, latitude, -20.1117, longitude, 3.2556
68.3477, latitude, -20.1117, longitude, 3.2556
61.9766, latitude, -14.3427, longitude, 3.25542
57.694, latitude, -8.5461, longitude, 3.25594
5.6849, latitude, -2.66125, longitude, 3.25554
0.893229, latitude, 3.28395, longitude, 3.25547
7.14323, latitude, 9.23864, longitude, 3.25568
14.0794, latitude, 15.0145, longitude, 3.25565
14.0794, latitude, 15.0143, longitude, 3.25561
36.4154, latitude, 20.8354, longitude, 3.25583
79.6081, latitude, 26.637, longitude, 3.25572
98.444, latitude, 32.8898, longitude, 3.25572
83.7826, latitude, 38.6764, longitude, 3.25565
76.4635, latitude, 38.6766, longitude, 3.25549
0.609375, latitude, 44.2128, longitude, 3.25551
3.50391, latitude, 85.5598, longitude, 3.25539
6.57422, latitude, 85.9782, longitude, 4.90163
0.942708, latitude, 80.1281, longitude, 4.90146
0.928385, latitude, 80.1281, longitude, 4.90146
4.14062, latitude, 44.7213, longitude, 4.90195
94.2474, latitude, 39.1919, longitude, 4.90169
97.8138, latitude, 33.4314, longitude, 4.90169
59.2826, latitude, 27.159, longitude, 4.90178
24.1654, latitude, 21.4173, longitude, 4.90147
23.2917, latitude, 21.4173, longitude, 4.90147
13.9167, latitude, 15.6719, longitude, 4.9017
11.2943, latitude, 9.88821, longitude, 4.90181
2.08073, latitude, 4.08446, longitude, 4.9019
1.41797, latitude, -2.13427, longitude, 4.90194
1.41797, latitude, -2.13427, longitude, 4.90194
51.2708, latitude, -7.87167, longitude, 4.90186
83.6719, latitude, -13.6267, longitude, 4.90171
86.056, latitude, -19.377, longitude, 4.90205
87.3789, latitude, -25.522, longitude, 4.90201
89.8268, latitude, -25.522, longitude, 4.90178
97.8646, latitude, -31.0643, longitude, 4.9019
96.7799, latitude, -37.1404, longitude, 4.90182
86.1146, latitude, -43.1027, longitude, 4.90191
65.3099, latitude, -48.6525, longitude, 4.90197
65.3099, latitude, -48.6526, longitude, 4.90204
43.3451, latitude, -54.6264, longitude, 4.902
73.3971, latitude, -60.5959, longitude, 4.90211
77.7096, latitude, -60.596, longitude, 4.90231
99.0391, latitude, -66.4277, longitude, 4.90177
94.2682, latitude, -72.1514, longitude, 4.90187
94.2682, latitude, -72.1514, longitude, 4.90187
37.9036, latitude, -78.3487, longitude, 4.90179
11.8424, latitude, -80.9832, longitude, 6.48893
16.5013, latitude, -80.9832, longitude, 6.48893
99.3268, latitude, -75.2887, longitude, 6.48889
96.7109, latitude, -69.0942, longitude, 6.48887
95.362, latitude, -63.2752, longitude, 6.48871
86.5482, latitude, -56.7673, longitude, 6.48839
98.4753, latitude, -50.6619, longitude, 6.48855
97.2305, latitude, -45.1313, longitude, 6.48871
97.2305, latitude, -45.131, longitude, 6.48889
99.2227, latitude, -39.1431, longitude, 6.48851
98.6276, latitude, -33.0425, longitude, 6.48852
98.6276, latitude, -33.0425, longitude, 6.48852
97.013, latitude, -27.4583, longitude, 6.48869
96.4987, latitude, -21.3976, longitude, 6.48843
96.7643, latitude, -15.7248, longitude, 6.48853
43.026, latitude, -9.98612, longitude, 6.48861
43.026, latitude, -9.98561, longitude, 6.48846
1.46875, latitude, -3.80577, longitude, 6.48865
14.1471, latitude, 1.95113, longitude, 6.4888
15.8255, latitude, 1.95113, longitude, 6.4888
44.1458, latitude, 7.66114, longitude, 6.48884
49.5417, latitude, 13.4325, longitude, 6.48882
8.47526, latitude, 19.371, longitude, 6.48862
16.7344, latitude, 25.578, longitude, 6.48872
83.6523, latitude, 31.3216, longitude, 6.4887
97.569, latitude, 37.0283, longitude, 6.48898
97.569, latitude, 37.0286, longitude, 6.48879
32.2656, latitude, 42.8637, longitude, 6.48873
1.02083, latitude, 72.1868, longitude, 6.48839
2.79557, latitude, 78.2529, longitude, 6.48843
22.5365, latitude, 83.9171, longitude, 6.48859
22.5365, latitude, 83.9171, longitude, 6.48859
76.9049, latitude, 87.3925, longitude, 8.08009
13.6641, latitude, 81.7256, longitude, 8.07982
4.29167, latitude, 76.0505, longitude, 8.07962
90.082, latitude, 40.8348, longitude, 8.07986
86.9922, latitude, 34.5933, longitude, 8.08025
86.9922, latitude, 34.5933, longitude, 8.08025
23.4727, latitude, 29.1801, longitude, 8.08009
4.67708, latitude, 22.9383, longitude, 8.07994
38.9818, latitude, 17.4715, longitude, 8.08017
77.5872, latitude, 11.1492, longitude, 8.08025
37.2357, latitude, 5.76247, longitude, 8.08002
10.8294, latitude, -0.102691, longitude, 8.07986
10.8294, latitude, -0.595643, longitude, 8.07993
4.51172, latitude, -6.407, longitude, 8.08007
66.5521, latitude, -12.2964, longitude, 8.07989
98.0495, latitude, -18.0885, longitude, 8.07989
97.9961, latitude, -23.8566, longitude, 8.08014
98.6914, latitude, -23.8565, longitude, 8.07997
98.9753, latitude, -29.6482, longitude, 8.08032
97.013, latitude, -35.5467, longitude, 8.08011
97.0807, latitude, -35.5467, longitude, 8.08019
99.4154, latitude, -41.2255, longitude, 8.08037
98.3633, latitude, -47.4436, longitude, 8.0799
98.3633, latitude, -47.4436, longitude, 8.0799
99.2318, latitude, -53.0476, longitude, 8.08035
99.2578, latitude, -59.1688, longitude, 8.08022
99.2578, latitude, -59.1688, longitude, 8.08022
94.5911, latitude, -64.832, longitude, 8.08029
97.7656, latitude, -70.8785, longitude, 8.07988
75.9935, latitude, -76.4092, longitude, 8.08025
4.78906, latitude, -81.7416, longitude, 9.77976
97.737, latitude, -75.945, longitude, 9.78015
97.75, latitude, -75.945, longitude, 9.78015
98.2591, latitude, -70.2239, longitude, 9.77996
97.3099, latitude, -64.3691, longitude, 9.78019
99.1927, latitude, -58.2656, longitude, 9.78005
98.5078, latitude, -52.6353, longitude, 9.77988
98.5078, latitude, -52.6354, longitude, 9.77993
98.5117, latitude, -46.613, longitude, 9.77966
98.3984, latitude, -40.7764, longitude, 9.77984
97.9102, latitude, -40.7766, longitude, 9.78005
98.1888, latitude, -35.0445, longitude, 9.77976
98.1706, latitude, -29.0202, longitude, 9.78013
98.5924, latitude, -23.3519, longitude, 9.77964
85.0755, latitude, -17.5121, longitude, 9.77972
85.0755, latitude, -17.5122, longitude, 9.78003
12.9557, latitude, -11.7564, longitude, 9.78028
2.08984, latitude, -5.71615, longitude, 9.77984
3.02083, latitude, -5.71615, longitude, 9.77984
62.5286, latitude, 0.177705, longitude, 9.77967
93.1888, latitude, 5.81698, longitude, 9.77967
97.1003, latitude, 11.7789, longitude, 9.78001
77.0794, latitude, 17.7948, longitude, 9.77973
68.3945, latitude, 17.7948, longitude, 9.77973
10.1914, latitude, 23.629, longitude, 9.7799
15.1693, latitude, 29.4539, longitude, 9.78018
66.6888, latitude, 35.2513, longitude, 9.7803
38.7292, latitude, 40.993, longitude, 9.78011
0.638021, latitude, 64.812, longitude, 9.78009
13.7448, latitude, 70.3813, longitude, 9.77976
37.4688, latitude, 76.1752, longitude, 9.7799
37.4688, latitude, 76.1752, longitude, 9.7799
71.944, latitude, 82.469, longitude, 9.78016
83.1706, latitude, 87.9161, longitude, 9.78013
94.6419, latitude, 83.5935, longitude, 11.4593
59.6719, latitude, 77.7578, longitude, 11.4592
60.1719, latitude, 77.7577, longitude, 11.4593
27.7721, latitude, 72.1594, longitude, 11.4596
2.2526, latitude, 66.1897, longitude, 11.4591
0.28125, latitude, 60.2127, longitude, 11.4595
25.4362, latitude, 41.4898, longitude, 11.4594
40.9232, latitude, 35.9838, longitude, 11.4594
40.9232, latitude, 35.9838, longitude, 11.4594
10.1224, latitude, 29.9863, longitude, 11.4594
22.0755, latitude, 24.355, longitude, 11.4592
84.3711, latitude, 18.4685, longitude, 11.4592
98.7982, latitude, 12.184, longitude, 11.4593
98.7982, latitude, 12.184, longitude, 11.4593
99.3112, latitude, 6.32975, longitude, 11.4595
59.6888, latitude, 0.524275, longitude, 11.4594
3.70182, latitude, -5.32857, longitude, 11.4595
6.33854, latitude, -11.1966, longitude, 11.4593
9.76693, latitude, -11.1964, longitude, 11.4593
85.5391, latitude, -16.9925, longitude, 11.4595
99.1771, latitude, -22.6774, longitude, 11.4596
99.1771, latitude, -22.6774, longitude, 11.4596
98.2318, latitude, -28.7251, longitude, 11.4593
99.793, latitude, -34.4453, longitude, 11.4595
98.2266, latitude, -40.1604, longitude, 11.4595
98.4427, latitude, -46.2761, longitude, 11.4594
98.6628, latitude, -46.2759, longitude, 11.4597
98.1576, latitude, -51.8738, longitude, 11.4594
98.7695, latitude, -57.9227, longitude, 11.4598
98.7695, latitude, -57.9226, longitude, 11.4598
96.25, latitude, -63.9132, longitude, 11.4595
99.8268, latitude, -69.7782, longitude, 11.4596
99.8737, latitude, -69.778, longitude, 11.4594
96.5573, latitude, -75.686, longitude, 11.4599
3.52474, latitude, -81.5054, longitude, 11.4596
1.3724, latitude, -81.5054, longitude, 11.4596
80.9857, latitude, -77.4929, longitude, 13.1641
98.9401, latitude, -71.6945, longitude, 13.1641
95.5443, latitude, -65.8932, longitude, 13.1643
95.5443, latitude, -65.8934, longitude, 13.1642
98.1536, latitude, -59.9386, longitude, 13.1643
97.8724, latitude, -53.8959, longitude, 13.164
98.0378, latitude, -53.8962, longitude, 13.1644
99.2031, latitude, -48.3371, longitude, 13.1641
96.7292, latitude, -42.2822, longitude, 13.164
95.9622, latitude, -42.2822, longitude, 13.164
99.6875, latitude, -36.2274, longitude, 13.1643
95.7422, latitude, -30.6521, longitude, 13.1641
95.7422, latitude, -30.6521, longitude, 13.1641
99.444, latitude, -24.5729, longitude, 13.1641
91.194, latitude, -18.9021, longitude, 13.1643
28.1562, latitude, -13.1339, longitude, 13.1641
2.94661, latitude, -7.32993, longitude, 13.1644
2.94661, latitude, -7.32967, longitude, 13.1642
79.388, latitude, -1.46095, longitude, 13.1643
99.2539, latitude, 4.387, longitude, 13.1643
96.7552, latitude, 10.2213, longitude, 13.1642
94.1706, latitude, 16.1448, longitude, 13.1642
94.1706, latitude, 16.1448, longitude, 13.164
69.7513, latitude, 22.2199, longitude, 13.1641
27.6237, latitude, 28.1109, longitude, 13.1644
6.50651, latitude, 34.1299, longitude, 13.1643
6.78646, latitude, 39.7165, longitude, 13.1639
6.78646, latitude, 39.7166, longitude, 13.1642
3.32552, latitude, 57.4066, longitude, 13.1639
14.7474, latitude, 63.1797, longitude, 13.164
14.7474, latitude, 63.1797, longitude, 13.164
53.2409, latitude, 69.3321, longitude, 13.1639
91.0365, latitude, 75.0767, longitude, 13.1644
96.5104, latitude, 80.8079, longitude, 13.1643
94.5547, latitude, 86.5184, longitude, 13.1641
94.5547, latitude, 86.5184, longitude, 13.1641
99.2799, latitude, 84.6097, longitude, 14.4295
96.0677, latitude, 78.8733, longitude, 14.4293
95.4258, latitude, 72.6243, longitude, 14.4297
36.0182, latitude, 67.0315, longitude, 14.4298
36.0182, latitude, 67.0313, longitude, 14.4295
8.93229, latitude, 61.222, longitude, 14.4293
3.44792, latitude, 55.2089, longitude, 14.4296
0.302083, latitude, 43.6359, longitude, 14.4295
5.93099, latitude, 37.5863, longitude, 14.4296
19.3659, latitude, 31.8549, longitude, 14.4296
19.3659, latitude, 31.855, longitude, 14.4293
80.0521, latitude, 26.0702, longitude, 14.4297
98.1432, latitude, 19.7954, longitude, 14.4295
97.8125, latitude, 13.9547, longitude, 14.4297
98.6419, latitude, 8.14517, longitude, 14.4297
98.6419, latitude, 8.14517, longitude, 14.4297
98.4831, latitude, 2.24556, longitude, 14.4298
26.3034, latitude, -3.57322, longitude, 14.4298
20.0781, latitude, -3.57322, longitude, 14.4298
3.14974, latitude, -9.36048, longitude, 14.4296
83.2305, latitude, -15.1423, longitude, 14.4295
99.5013, latitude, -20.8804, longitude, 14.4295
98.6576, latitude, -27.017, longitude, 14.43
98.7917, latitude, -27.017, longitude, 14.43
99.3841, latitude, -32.5841, longitude, 14.4298
96.6888, latitude, -38.7054, longitude, 14.4297
99.4857, latitude, -44.3408, longitude, 14.4298
99.694, latitude, -50.403, longitude, 14.4297
99.8672, latitude, -50.4031, longitude, 14.4294
99.181, latitude, -55.9888, longitude, 14.4298
97.2096, latitude, -62.0133, longitude, 14.4296
97.2096, latitude, -62.013, longitude, 14.4297
98.8542, latitude, -67.8934, longitude, 14.43
98.5339, latitude, -73.7684, longitude, 14.43
98.5339, latitude, -73.7683, longitude, 14.4298
19.3047, latitude, -79.5573, longitude, 14.4301
45.4375, latitude, -78.9823, longitude, 16.0848
98.7409, latitude, -72.7222, longitude, 16.0847
98.569, latitude, -72.7222, longitude, 16.0847
