0.294271, latitude, -22.4489, longitude, 1.6106
0.510417, latitude, -28.1897, longitude, 1.61034
0.432292, latitude, -25.8394, longitude, 3.25557
0.647135, latitude, 25.578, longitude, 6.48872
0.542969, latitude, 29.1801, longitude, 8.08009
0.520833, latitude, 29.4539, longitude, 9.78018
0.527344, latitude, 29.9863, longitude, 11.4594
0.384115, latitude, 28.1109, longitude, 13.1644
0.347656, latitude, 31.8549, longitude, 14.4296
0.347656, latitude, 31.855, longitude, 14.4293
0.472656, latitude, 26.0702, longitude, 14.4297
0.839844, latitude, -13.4589, longitude, 22.5834
0.652344, latitude, -9.1809, longitude, 24.2104
0.354167, latitude, 14.5119, longitude, 38.7332
0.355469, latitude, 17.2094, longitude, 40.3855
0.355469, latitude, 17.2094, longitude, 40.3858
0.311198, latitude, 12.5332, longitude, 41.7276
0.354167, latitude, 18.3918, longitude, 41.7275
0.348958, latitude, 17.7798, longitude, 43.5258
0.348958, latitude, 17.7798, longitude, 43.5258
0.28125, latitude, 2.94999, longitude, -1.76164
0.369792, latitude, -2.95213, longitude, -1.76135
0.497396, latitude, -26.2918, longitude, -1.76164
0.294271, latitude, -26.1718, longitude, -3.26067
0.294271, latitude, -26.1718, longitude, -3.26067
0.371094, latitude, -2.67185, longitude, -3.26054
0.41276, latitude, -1.75087, longitude, -5.02461
