0.544271, latitude, -8.47409, longitude, 16.0847
0.544271, latitude, -8.17144, longitude, 17.7026
0.59375, latitude, -9.98334, longitude, 19.2975
0.519531, latitude, -13.4589, longitude, 22.5834
0.597656, latitude, -9.1809, longitude, 24.2104
0.507812, latitude, -4.88312, longitude, 29.131
0.507812, latitude, -4.88336, longitude, 29.1314
0.38151, latitude, -0.667783, longitude, 30.4047
0.626302, latitude, -5.03188, longitude, 33.671
0.575521, latitude, -1.24814, longitude, 35.4104
0.679688, latitude, -2.50697, longitude, 37.0712
0.550781, latitude, -48.8082, longitude, -5.02417
0.614583, latitude, -52.0799, longitude, -6.4987
0.605469, latitude, -52.0799, longitude, -6.4987
0.639323, latitude, -52.1039, longitude, -8.23742
0.644531, latitude, -52.1039, longitude, -8.23742
0.378906, latitude, -54.8143, longitude, -9.73245
0.544271, latitude, -48.8383, longitude, -9.7324
0.608073, latitude, -50.8873, longitude, -11.3582
0.585938, latitude, -50.0523, longitude, -12.8979
