13.5586, latitude, 0.699921, longitude, 9.51092e-05
14.3776, latitude, 0.854008, longitude, 1.61041
1.54036, latitude, -4.81591, longitude, 1.61076
12.8633, latitude, -2.66125, longitude, 3.25554
5.51693, latitude, 3.28395, longitude, 3.25547
5.44792, latitude, 4.08446, longitude, 4.9019
10.1393, latitude, -2.13427, longitude, 4.90194
10.1393, latitude, -2.13427, longitude, 4.90194
0.677083, latitude, -3.80577, longitude, 6.48865
0.408854, latitude, 1.95113, longitude, 6.4888
0.372396, latitude, 17.7948, longitude, 9.77973
0.688802, latitude, 18.4685, longitude, 11.4592
0.717448, latitude, -13.1339, longitude, 13.1641
2.16536, latitude, -7.32993, longitude, 13.1644
2.16536, latitude, -7.32967, longitude, 13.1642
0.679688, latitude, 10.2213, longitude, 13.1642
0.548177, latitude, 16.1448, longitude, 13.1642
0.548177, latitude, 16.1448, longitude, 13.164
0.347656, latitude, 19.7954, longitude, 14.4295
1.44792, latitude, -3.57322, longitude, 14.4298
2.21615, latitude, -3.57322, longitude, 14.4298
4.80859, latitude, -9.36048, longitude, 14.4296
0.5, latitude, -14.4301, longitude, 16.0845
0.5, latitude, -14.4299, longitude, 16.0844
18.1836, latitude, -8.47409, longitude, 16.0847
0.294271, latitude, -2.24977, longitude, 17.7022
0.294271, latitude, -2.24961, longitude, 17.7024
20.4544, latitude, -8.17144, longitude, 17.7026
0.813802, latitude, -8.17161, longitude, 17.7024
1.60417, latitude, -15.7761, longitude, 19.2973
24.793, latitude, -9.98334, longitude, 19.2975
0.947917, latitude, -4.23238, longitude, 19.2974
0.947917, latitude, -4.23264, longitude, 19.2975
15.0326, latitude, -5.71016, longitude, 20.9472
15.0872, latitude, -11.4971, longitude, 20.9469
10.0104, latitude, -13.4589, longitude, 22.5834
12.1914, latitude, -7.55128, longitude, 22.5833
12.1914, latitude, -7.55144, longitude, 22.5835
2.33854, latitude, -3.11246, longitude, 24.2105
2.33854, latitude, -3.11246, longitude, 24.2105
13.7331, latitude, -9.1809, longitude, 24.2104
0.299479, latitude, -14.8838, longitude, 24.2106
1.98568, latitude, -14.991, longitude, 25.8268
1.14062, latitude, -8.96083, longitude, 25.827
1.14062, latitude, -8.96092, longitude, 25.8271
0.476562, latitude, -1.54083, longitude, 27.4764
1.4388, latitude, -13.1532, longitude, 27.4764
0.925781, latitude, -10.6748, longitude, 29.1313
2.46615, latitude, -4.88312, longitude, 29.131
2.46615, latitude, -4.88336, longitude, 29.1314
1.25651, latitude, 0.914352, longitude, 29.1312
1.3112, latitude, 36.3131, longitude, 29.1313
1.29036, latitude, 40.5665, longitude, 30.4049
1.5013, latitude, -0.667783, longitude, 30.4047
1.71094, latitude, -0.667783, longitude, 30.4047
2.54818, latitude, -5.21815, longitude, 32.0377
2.54818, latitude, -5.21815, longitude, 32.0377
3.6888, latitude, 35.9319, longitude, 32.0376
1.3138, latitude, 41.9427, longitude, 32.0378
5.70182, latitude, 41.3976, longitude, 33.6708
4.73177, latitude, 35.9003, longitude, 33.6709
0.785156, latitude, 0.371342, longitude, 33.6709
2.20182, latitude, -1.24814, longitude, 35.4104
4.22135, latitude, 33.7986, longitude, 35.4103
5.54036, latitude, 39.7848, longitude, 35.4102
6.15625, latitude, 38.4974, longitude, 37.0711
0.731771, latitude, 32.5378, longitude, 37.0712
0.739583, latitude, 32.5378, longitude, 37.0712
3.20182, latitude, -2.50697, longitude, 37.0712
0.730469, latitude, 31.9022, longitude, 38.733
0.730469, latitude, 31.9022, longitude, 38.733
5.11979, latitude, 37.6178, longitude, 38.733
4.68359, latitude, 40.8376, longitude, 40.3856
2.00911, latitude, 34.7015, longitude, 40.3855
2.41146, latitude, 36.0432, longitude, 41.7279
1.17057, latitude, 41.7335, longitude, 41.7277
11.2747, latitude, 2.94999, longitude, -1.76164
5.67839, latitude, -2.95213, longitude, -1.76135
12.0885, latitude, -2.67185, longitude, -3.26054
6.40365, latitude, -2.67196, longitude, -3.26049
1.97526, latitude, 3.90908, longitude, -5.02429
3.08594, latitude, -1.75087, longitude, -5.02461
0.574219, latitude, -5.29418, longitude, -6.49908
0.648438, latitude, -5.29418, longitude, -6.49908
0.976562, latitude, 0.572947, longitude, -6.49888
0.369792, latitude, -14.7138, longitude, -12.8982
1.32943, latitude, -12.9847, longitude, -14.4491
1.32943, latitude, -12.9847, longitude, -14.4491
1.46354, latitude, -17.1745, longitude, -16.3384
0.49349, latitude, -11.2774, longitude, -16.3385
0.49349, latitude, -11.2774, longitude, -16.3385
3.04297, latitude, -11.4717, longitude, -17.846
3.13542, latitude, -11.4717, longitude, -17.846
2.54557, latitude, -17.3199, longitude, -17.8464
2.48177, latitude, -19.275, longitude, -19.427
2.95833, latitude, -13.4432, longitude, -19.4267
3.71615, latitude, -13.4432, longitude, -19.4267
1.7513, latitude, -15.2151, longitude, -20.9273
0.520833, latitude, -19.5107, longitude, -22.4383
0.549479, latitude, -13.5534, longitude, -22.4378
